car_file_name,car_file_path,piece_cid,data_cid,car_file_size,car_file_md5,source_file_name,source_file_path,source_file_size,source_file_md5,car_file_url
baga6ea4seaqc5vny44hwj55w3x7icckuhfqwwtgim34f7mekbefebodkths4oka.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqc5vny44hwj55w3x7icckuhfqwwtgim34f7mekbefebodkths4oka.car,baga6ea4seaqc5vny44hwj55w3x7icckuhfqwwtgim34f7mekbefebodkths4oka,bafybeicqkvbxn4xnc5glikpugo33hkaai43cveoj42kuvhh37maihc44am,17528722296,,baga6ea4seaqc5vny44hwj55w3x7icckuhfqwwtgim34f7mekbefebodkths4oka.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqc5vny44hwj55w3x7icckuhfqwwtgim34f7mekbefebodkths4oka.car,17528722296,,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqc5vny44hwj55w3x7icckuhfqwwtgim34f7mekbefebodkths4oka.car
baga6ea4seaqnbxivjzyis7ts5ylr5rnzqnx74rupe4qqmag4bc5e3irfuro3qja.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqnbxivjzyis7ts5ylr5rnzqnx74rupe4qqmag4bc5e3irfuro3qja.car,baga6ea4seaqnbxivjzyis7ts5ylr5rnzqnx74rupe4qqmag4bc5e3irfuro3qja,bafybeicpdv4muis2hwstgnk56by6ppmuespuq4l47r6q73etl6muichjni,17527563315,,baga6ea4seaqnbxivjzyis7ts5ylr5rnzqnx74rupe4qqmag4bc5e3irfuro3qja.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqnbxivjzyis7ts5ylr5rnzqnx74rupe4qqmag4bc5e3irfuro3qja.car,17527563315,,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqnbxivjzyis7ts5ylr5rnzqnx74rupe4qqmag4bc5e3irfuro3qja.car
baga6ea4seaqpnhjrzs2fpg2mkecentfsbseecc5gha3lbilr32lobkxpsjda4ka.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqpnhjrzs2fpg2mkecentfsbseecc5gha3lbilr32lobkxpsjda4ka.car,baga6ea4seaqpnhjrzs2fpg2mkecentfsbseecc5gha3lbilr32lobkxpsjda4ka,bafybeiciuaoijxvj4veizcj2ugb5hp4d3epl5egvxzolrgjlcc7bpm6pci,17527312339,,baga6ea4seaqpnhjrzs2fpg2mkecentfsbseecc5gha3lbilr32lobkxpsjda4ka.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqpnhjrzs2fpg2mkecentfsbseecc5gha3lbilr32lobkxpsjda4ka.car,17527312339,,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqpnhjrzs2fpg2mkecentfsbseecc5gha3lbilr32lobkxpsjda4ka.car
baga6ea4seaqhjxajorkrnv42pamzhqgctoo7j7ec7sn5hdrmkvla72il6kctkhy.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqhjxajorkrnv42pamzhqgctoo7j7ec7sn5hdrmkvla72il6kctkhy.car,baga6ea4seaqhjxajorkrnv42pamzhqgctoo7j7ec7sn5hdrmkvla72il6kctkhy,bafybeigcifjxc3kx3ibojiy7dddhiemsoow2hfutlznjy5phsshars2fbe,17527313117,,baga6ea4seaqhjxajorkrnv42pamzhqgctoo7j7ec7sn5hdrmkvla72il6kctkhy.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqhjxajorkrnv42pamzhqgctoo7j7ec7sn5hdrmkvla72il6kctkhy.car,17527313117,,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqhjxajorkrnv42pamzhqgctoo7j7ec7sn5hdrmkvla72il6kctkhy.car
baga6ea4seaql5dxvsi53vkduj65izqezm3qlzdpdlzphd5qyft563znpoo22ejy.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaql5dxvsi53vkduj65izqezm3qlzdpdlzphd5qyft563znpoo22ejy.car,baga6ea4seaql5dxvsi53vkduj65izqezm3qlzdpdlzphd5qyft563znpoo22ejy,bafybeicmxpmp6yf4xfzu3c7qh6ram5tcraxnynotf5bv7ftgwsxhv6jj2a,17525516139,,baga6ea4seaql5dxvsi53vkduj65izqezm3qlzdpdlzphd5qyft563znpoo22ejy.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaql5dxvsi53vkduj65izqezm3qlzdpdlzphd5qyft563znpoo22ejy.car,17525516139,,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaql5dxvsi53vkduj65izqezm3qlzdpdlzphd5qyft563znpoo22ejy.car
baga6ea4seaqp2amjqwcsr4vgte4hmatqpuvvmveesazfpi736hv6oyewzq3zenq.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqp2amjqwcsr4vgte4hmatqpuvvmveesazfpi736hv6oyewzq3zenq.car,baga6ea4seaqp2amjqwcsr4vgte4hmatqpuvvmveesazfpi736hv6oyewzq3zenq,bafybeie2dlmynnluxqyhdewpgel5v4zdll3qyfw3lw3ntoae4t4fl3k6gy,17528510130,,baga6ea4seaqp2amjqwcsr4vgte4hmatqpuvvmveesazfpi736hv6oyewzq3zenq.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqp2amjqwcsr4vgte4hmatqpuvvmveesazfpi736hv6oyewzq3zenq.car,17528510130,,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqp2amjqwcsr4vgte4hmatqpuvvmveesazfpi736hv6oyewzq3zenq.car
baga6ea4seaqcrb433zecsy33dapetwp4xywhllav3irekzvrbt2p47uchsroifa.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqcrb433zecsy33dapetwp4xywhllav3irekzvrbt2p47uchsroifa.car,baga6ea4seaqcrb433zecsy33dapetwp4xywhllav3irekzvrbt2p47uchsroifa,bafybeif6ccufi474ekb6r2otelddk6hgjm3nddrq6nghtq7kdz2wwkcb5a,18001432829,,baga6ea4seaqcrb433zecsy33dapetwp4xywhllav3irekzvrbt2p47uchsroifa.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqcrb433zecsy33dapetwp4xywhllav3irekzvrbt2p47uchsroifa.car,18001432829,,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqcrb433zecsy33dapetwp4xywhllav3irekzvrbt2p47uchsroifa.car
baga6ea4seaqhl54g5jni3ovffuc6dmatjtg7frxq2xae5d3epwzq4lv6jubrwey.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqhl54g5jni3ovffuc6dmatjtg7frxq2xae5d3epwzq4lv6jubrwey.car,baga6ea4seaqhl54g5jni3ovffuc6dmatjtg7frxq2xae5d3epwzq4lv6jubrwey,bafybeigqtz3dvrj35bunvask7fffw5mhqv46kvuggo545tprkr2krddvpi,17528626248,,baga6ea4seaqhl54g5jni3ovffuc6dmatjtg7frxq2xae5d3epwzq4lv6jubrwey.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqhl54g5jni3ovffuc6dmatjtg7frxq2xae5d3epwzq4lv6jubrwey.car,17528626248,,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqhl54g5jni3ovffuc6dmatjtg7frxq2xae5d3epwzq4lv6jubrwey.car
baga6ea4seaqgqjdn5uz63qgbzzx4mfjno6idl4tv2uh3govyuyxccqsmmu27ycq.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqgqjdn5uz63qgbzzx4mfjno6idl4tv2uh3govyuyxccqsmmu27ycq.car,baga6ea4seaqgqjdn5uz63qgbzzx4mfjno6idl4tv2uh3govyuyxccqsmmu27ycq,bafybeibrkbs47hz6wa4jpgwcghaoeysjtrqsr4r6r5v4gxrbesj6jfya5q,17526888985,,baga6ea4seaqgqjdn5uz63qgbzzx4mfjno6idl4tv2uh3govyuyxccqsmmu27ycq.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqgqjdn5uz63qgbzzx4mfjno6idl4tv2uh3govyuyxccqsmmu27ycq.car,17526888985,,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqgqjdn5uz63qgbzzx4mfjno6idl4tv2uh3govyuyxccqsmmu27ycq.car
baga6ea4seaqackbjo7ve5xrbnvcxe5ekqnc3brfcjmcsqlqp2crrygqemgb3yny.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqackbjo7ve5xrbnvcxe5ekqnc3brfcjmcsqlqp2crrygqemgb3yny.car,baga6ea4seaqackbjo7ve5xrbnvcxe5ekqnc3brfcjmcsqlqp2crrygqemgb3yny,bafybeicjowdi7e3y6xmtyctts3de2qvkazisi2gjxwpfigizekyx7hw7oe,17528052813,,baga6ea4seaqackbjo7ve5xrbnvcxe5ekqnc3brfcjmcsqlqp2crrygqemgb3yny.car,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqackbjo7ve5xrbnvcxe5ekqnc3brfcjmcsqlqp2crrygqemgb3yny.car,17528052813,,https://download2.nbfsdata.com/snapshot/eth/baga6ea4seaqackbjo7ve5xrbnvcxe5ekqnc3brfcjmcsqlqp2crrygqemgb3yny.car
